Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2001-03-26,Empoli,Chievo,1,1,D,1,0,H,2.65,2.35,3.0,,,,2.5,2.15,3.6,IT,2000/2001
I2,2001-03-30,Cittadella,Cosenza,0,1,A,0,0,D,2.45,2.45,3.2,,,,2.3,2.5,3.3,IT,2000/2001
I2,2001-01-04,Cagliari,Ravenna,2,0,H,1,0,H,1.5,3.0,7.0,1.45,3.0,5.5,1.4,3.5,7.0,IT,2000/2001
I2,2001-01-04,Chievo,Pistoiese,1,1,D,1,0,H,1.45,3.2,7.2,1.4,3.0,7.0,1.45,3.1,7.75,IT,2000/2001
I2,2001-01-04,Crotone,Monza,2,1,H,1,0,H,1.6,2.9,6.0,1.65,2.7,4.7,1.55,3.1,5.75,IT,2000/2001
I2,2001-01-04,Pescara,Venezia,2,3,A,1,1,D,3.16,2.4,2.5,2.9,2.4,2.4,3.0,2.6,2.35,IT,2000/2001
I2,2001-01-04,Salernitana,Ancona,4,2,H,1,0,H,2.25,2.45,3.55,2.1,2.5,3.3,2.1,2.6,3.6,IT,2000/2001
I2,2001-01-04,Siena,Torino,0,2,A,0,2,A,2.87,2.35,2.7,,,,,,,IT,2000/2001
I2,2001-01-04,Ternana,Piacenza,0,1,A,0,1,A,2.25,2.4,3.6,2.2,2.3,3.3,2.05,2.4,4.25,IT,2000/2001
I2,2001-02-04,Genoa,Sampdoria,2,0,H,1,0,H,2.95,2.4,2.6,3.0,2.2,2.5,2.8,2.5,2.6,IT,2000/2001
I2,2001-06-04,Torino,Chievo,0,0,D,0,0,D,1.95,2.5,4.4,1.8,2.3,5.2,1.7,2.6,6.0,IT,2000/2001
I2,2001-08-04,Ancona,Crotone,2,0,H,2,0,H,1.95,2.6,4.15,2.1,2.3,3.7,2.0,2.7,3.7,IT,2000/2001
I2,2001-08-04,Cosenza,Cagliari,1,3,A,0,1,A,1.83,2.7,4.75,1.9,2.4,4.1,1.8,2.8,4.5,IT,2000/2001
I2,2001-08-04,Empoli,Cittadella,2,0,H,2,0,H,1.75,2.65,5.2,,,,1.8,2.3,6.75,IT,2000/2001
I2,2001-08-04,Monza,Genoa,1,5,A,0,2,A,2.2,2.45,3.65,2.3,2.4,3.0,2.2,2.65,3.25,IT,2000/2001
I2,2001-08-04,Pistoiese,Ternana,2,3,A,0,1,A,2.45,2.4,3.2,2.4,2.3,3.0,2.1,2.35,4.2,IT,2000/2001
I2,2001-08-04,Ravenna,Siena,2,1,H,0,1,A,2.48,2.45,3.0,,,,2.35,2.6,3.05,IT,2000/2001
I2,2001-08-04,Sampdoria,Treviso,2,0,H,1,0,H,1.47,3.1,7.2,1.45,2.8,7.5,1.5,3.0,7.0,IT,2000/2001
I2,2001-08-04,Venezia,Salernitana,2,0,H,0,0,D,1.45,3.2,7.2,1.45,2.8,7.5,1.5,2.95,7.5,IT,2000/2001
I2,2001-09-04,Piacenza,Pescara,2,1,H,0,1,A,1.4,3.35,7.75,1.4,3.0,7.0,1.35,3.55,8.5,IT,2000/2001
I2,2001-04-14,Cagliari,Venezia,2,1,H,1,1,D,2.4,2.5,3.15,2.4,2.2,3.2,2.5,2.5,2.95,IT,2000/2001
I2,2001-04-14,Chievo,Sampdoria,1,1,D,1,1,D,2.2,2.55,3.45,,,,2.2,2.35,3.8,IT,2000/2001
I2,2001-04-14,Crotone,Torino,0,1,A,0,0,D,2.7,2.45,2.8,2.8,2.2,2.8,2.65,2.5,2.75,IT,2000/2001
I2,2001-04-14,Genoa,Ancona,3,1,H,2,1,H,1.9,2.7,4.2,1.8,2.6,4.0,1.7,2.8,5.2,IT,2000/2001
I2,2001-04-14,Pescara,Pistoiese,0,1,A,0,0,D,2.3,2.6,3.15,2.0,2.6,3.3,2.15,2.6,3.45,IT,2000/2001
